,Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,Protection_PiN_2017,Protection_Severity_2017
49,Rural Damascus,Duma,Ghizlaniyyeh,92500.0,50040.0,64066.0,4.0
50,Idleb,Idleb,Maaret Tamsrin,100006.0,49325.0,64277.0,5.0
51,Idleb,Idleb,Saraqab,83400.0,35590.0,57763.0,5.0
52,Homs,Ar-Rastan,Talbiseh,112300.0,29250.0,110989.0,5.0
53,Al-Hasakeh,Ras Al Ain,Ras Al Ain,69520.0,4820.0,48150.0,3.0
54,Ar-Raqqa,Ar-Raqqa,Maadan,22000.0,1770.0,21511.0,2.0
55,Hama,As-Suqaylabiyah,Madiq Castle,71410.0,8840.0,49459.0,4.0
56,Aleppo,Jebel Saman,Daret Azza,82520.0,36838.0,57153.0,5.0
57,Aleppo,Afrin,Sharan,23900.0,10490.0,16553.0,4.0
58,Ar-Raqqa,Ath-Thawrah,Al-Thawrah,74000.0,4200.0,67833.0,3.0
59,Al-Hasakeh,Al-Malikeyyeh,Al-Malikeyyeh,79470.0,5355.0,55041.0,2.0
60,Aleppo,Jebel Saman,Tall Ed-daman,52832.0,6623.0,36591.0,4.0
61,Deir-ez-Zor,Deir-ez-Zor,Kisreh,90990.0,12450.0,63020.0,3.0
62,Idleb,Jisr-Ash-Shugur,Badama,56545.0,51860.0,51860.0,6.0
63,Aleppo,Menbij,Al-Khafsa,94470.0,26060.0,65430.0,4.0
64,Idleb,Al Ma'ra,Khan Shaykun,19390.0,9580.0,13430.0,5.0
65,Homs,Ar-Rastan,Ar-Rastan,71890.0,15070.0,71890.0,4.0
66,Homs,Homs,Kherbet Tin Noor,72805.0,3490.0,50425.0,2.0
67,Idleb,Ariha,Ehsem,63000.0,12910.0,43634.0,4.0
68,Hama,Hama,Hamra,25835.0,6980.0,17893.0,4.0
69,Aleppo,Jebel Saman,Zarbah,46890.0,5470.0,32476.0,4.0
70,Tartous,Banyas,Banyas,82900.0,19170.0,57417.0,3.0
71,Deir-ez-Zor,Al Mayadin,Thiban,76900.0,15010.0,53261.0,3.0
72,Hama,Masyaf,Masyaf,73500.0,12720.0,50906.0,1.0
73,Rural Damascus,Rural Damascus,Arbin,51000.0,4570.0,51000.0,3.0
74,Rural Damascus,Az-Zabdani,Madaya,51100.0,1800.0,45700.0,4.0
75,Homs,Homs,Taldu,71100.0,4350.0,69597.0,4.0
76,Hama,Muhradah,Muhradah,48115.0,8585.0,33324.0,3.0
77,Rural Damascus,Darayya,Sahnaya,60000.0,37000.0,41556.0,4.0
78,Deir-ez-Zor,Abu Kamal,Susat,75400.0,1190.0,52222.0,2.0
79,Rural Damascus,Qatana,Sa'sa',62060.0,10310.0,46414.0,3.0
80,Homs,Tall Kalakh,Nasra,57700.0,40910.0,40910.0,3.0
81,Dar'a,Izra',Jasim,58000.0,24000.0,46787.0,4.0
82,Dar'a,Izra',Nawa ,57600.0,22810.0,39894.0,4.0
83,Rural Damascus,Az-Zabdani,Sarghaya,15500.0,900.0,13900.0,2.0
84,Al-Hasakeh,Quamishli,Amuda,45260.0,14680.0,31347.0,4.0
85,Deir-ez-Zor,Deir-ez-Zor,Tabni,67750.0,10280.0,46924.0,3.0
86,Quneitra,Al Fiq,Fiq,2420.0,578.0,1676.0,2.0
87,Idleb,Al Ma'ra,Sanjar,60870.0,17500.0,43265.0,3.0
88,Rural Damascus,Al Qutayfah,Jirud,30400.0,2140.0,26700.0,2.0
89,Al-Hasakeh,Al-Hasakeh,Tal Tamer,50755.0,4690.0,35153.0,3.0
90,Homs,Al-Qusayr,Al Quasir,56890.0,14360.0,39402.0,3.0
91,Ar-Raqqa,Ar-Raqqa,Karama,37550.0,3455.0,30979.0,2.0
92,Idleb,Harim,Harim,35355.0,21680.0,24487.0,4.0
93,Rural Damascus,Qatana,Bait Jan,7460.0,0.0,7460.0,2.0
94,Tartous,Safita,Safita,59620.0,19055.0,41293.0,3.0
95,Quneitra,Quneitra,Khan Arnaba,44190.0,18025.0,33246.0,5.0
96,Lattakia,Jablah,Jablah,64670.0,26055.0,44790.0,3.0
97,Hama,Hama,Harbanifse,46520.0,1480.0,41432.0,4.0
98,Aleppo,Ain Al Arab,Ain al Arab,94387.0,425.0,65372.0,4.0
99,Dar'a,Dar'a,Da'el,52000.0,19500.0,36015.0,4.0
100,Rural Damascus,Darayya,Markaz Darayya,43000.0,2520.0,43000.0,4.0
101,Aleppo,As-Safira,Banan,10990.0,3065.0,7612.0,3.0
102,Dar'a,Dar'a,Kherbet Ghazala,26700.0,13250.0,18492.0,5.0
103,Deir-ez-Zor,Deir-ez-Zor,Khasham,62300.0,850.0,43149.0,3.0
104,Hama,Hama,Suran,26625.0,4340.0,23713.0,4.0
105,Aleppo,Menbij,Maskana,45370.0,10955.0,31423.0,4.0
106,Dar'a,Izra',Sheikh Miskine,14480.0,2220.0,10029.0,4.0
107,Idleb,Harim,Qourqeena,49200.0,22120.0,34076.0,3.0
108,Rural Damascus,Anbk,Anbk,49430.0,24110.0,34235.0,5.0
109,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,49845.0,18380.0,34523.0,5.0
110,Idleb,Idleb,Abul Thohur,49350.0,21330.0,34180.0,5.0
111,Dar'a,Dar'a,Mseifra,39790.0,16840.0,27559.0,4.0
112,Aleppo,Afrin,Raju,61015.0,22360.0,42259.0,3.0
113,Al-Hasakeh,Al-Hasakeh,Shadadah,43750.0,6680.0,30301.0,4.0
114,As-Sweida,Salkhad,Gharyeh,4600.0,330.0,3186.0,1.0
115,Deir-ez-Zor,Deir-ez-Zor,Basira,43570.0,3575.0,30177.0,2.0
116,Aleppo,Jarablus,Jarablus,27780.0,11450.0,19240.0,5.0
117,Dar'a,Izra',Hrak,46500.0,9790.0,32206.0,4.0
118,Idleb,Jisr-Ash-Shugur,Darkosh,49300.0,23495.0,34145.0,4.0
119,Aleppo,Afrin,Jandairis,47070.0,16710.0,32601.0,4.0
120,Ar-Raqqa,Ath-Thawrah,Mansura,51700.0,11992.0,35807.0,4.0
121,Aleppo,Al Bab,Dayr Hafir,10000.0,0.0,4844.0,2.0
122,As-Sweida,Shahba,Shahba,34270.0,9500.0,23735.0,3.0
123,Rural Damascus,Anbk,Deir Attiyeh,45400.0,14650.0,31444.0,5.0
124,Rural Damascus,Al Qutayfah,Al Qutayfah,48300.0,4960.0,33453.0,2.0
125,Quneitra,Quneitra,Al-Khashniyyeh,37195.0,18683.0,25761.0,4.0
126,Lattakia,Jablah,Qteilbiyyeh,21250.0,1260.0,14718.0,1.0
127,Hama,Masyaf,Oj,48110.0,10400.0,33321.0,2.0
128,Dar'a,As-Sanamayn,Ghabagheb,44880.0,14300.0,31084.0,5.0
129,Aleppo,A'zaz,Nabul,40540.0,845.0,28078.0,3.0
130,Rural Damascus,Az-Zabdani,Ein Elfijeh,40900.0,9520.0,40900.0,5.0
131,Idleb,Al Ma'ra,Heish,48790.0,25380.0,33792.0,5.0
132,Dar'a,Dar'a,Jizeh,32160.0,21335.0,22274.0,4.0
133,Al-Hasakeh,Ras Al Ain,Darbasiyah,40120.0,6350.0,27787.0,3.0
134,Aleppo,Menbij,Abu Qalqal,43170.0,9844.0,29900.0,4.0
135,Homs,Tall Kalakh,Hawash,40663.0,25225.0,28163.0,3.0
136,Dar'a,Dar'a,Busra Esh-Sham,37430.0,14690.0,25924.0,4.0
137,Homs,Al Makhrim,Al Makhrim,45450.0,2680.0,31479.0,1.0
138,Aleppo,Jebel Saman,Haritan,23630.0,5925.0,18067.0,5.0
139,Idleb,Al Ma'ra,Tamanaah,37360.0,12250.0,25876.0,5.0
140,Idleb,Idleb,Teftnaz,27700.0,12640.0,19185.0,4.0
141,Lattakia,Al-Qardaha,Jobet Berghal,4430.0,90.0,3068.0,1.0
142,Idleb,Jisr-Ash-Shugur,Janudiyeh,35810.0,23160.0,24802.0,4.0
143,Aleppo,As-Safira,As-Safira,25890.0,105.0,17931.0,2.0
144,Hama,As-Salamiyeh,As-Saan,9700.0,1280.0,6718.0,3.0
145,Idleb,Harim,Armanaz,39000.0,13130.0,27011.0,3.0
146,Tartous,Dreikish,Dreikish,41160.0,14200.0,28507.0,3.0
147,Dar'a,Dar'a,Ash-Shajara,34950.0,7310.0,24102.0,4.0
148,Tartous,Tartous,Soda Khawabi,37100.0,17310.0,25695.0,3.0
149,As-Sweida,Shahba,Shaqa,20695.0,3530.0,14333.0,4.0
150,Rural Damascus,Duma,Dhameer,36900.0,15820.0,35820.0,5.0
151,Homs,Homs,Raqama,21890.0,6340.0,15161.0,2.0
152,Rural Damascus,Yabroud,Yabroud,32090.0,15600.0,22226.0,4.0
153,Lattakia,Lattakia,Hanadi,13750.0,710.0,9523.0,1.0
154,Hama,Muhradah,Karnaz,7440.0,2280.0,5153.0,4.0
155,Deir-ez-Zor,Deir-ez-Zor,Sur,38450.0,2080.0,26630.0,2.0
156,Ar-Raqqa,Ath-Thawrah,Jurneyyeh,26540.0,6200.0,25759.0,3.0
157,Al-Hasakeh,Quamishli,Tal Hmis,28170.0,0.0,19511.0,2.0
158,Rural Damascus,Az-Zabdani,Az-Zabdani,34190.0,14360.0,26007.0,6.0
159,Hama,Masyaf,Wadi El-oyoun,26700.0,8160.0,18492.0,2.0
160,Al-Hasakeh,Al-Hasakeh,Markada,35700.0,8335.0,24726.0,4.0
161,Hama,Masyaf,Jeb Ramleh,36500.0,50.0,25280.0,1.0
162,Aleppo,Al Bab,Tadaf,21001.0,1908.0,14545.0,3.0
163,Rural Damascus,Duma,Nashabiyeh,20190.0,6660.0,18410.0,5.0
164,Al-Hasakeh,Al-Malikeyyeh,Jawadiyah,29430.0,535.0,20383.0,2.0
165,Idleb,Ariha,Mhambal,27370.0,6010.0,18956.0,3.0
166,Deir-ez-Zor,Deir-ez-Zor,Muhasan,29940.0,5720.0,20736.0,4.0
167,Hama,As-Suqaylabiyah,As-Suqaylabiyah,35450.0,2100.0,24553.0,2.0
168,Tartous,Sheikh Badr,Sheikh Badr,29590.0,10610.0,20494.0,3.0
169,Aleppo,Jebel Saman,Hadher,900.0,0.0,623.0,3.0
170,Aleppo,Ain Al Arab,Sarin,23154.0,680.0,16036.0,3.0
171,Idleb,Idleb,Bennsh,26500.0,2180.0,14980.0,3.0
172,Ar-Raqqa,Tell Abiad,Tell Abiad,29930.0,3075.0,20730.0,3.0
173,Homs,Homs,Ein Elniser,31560.0,3480.0,21858.0,3.0
174,Hama,As-Suqaylabiyah,Ziyara,13310.0,60.0,9219.0,4.0
175,Ar-Raqqa,Ar-Raqqa,Sabka,26635.0,1970.0,18447.0,2.0
176,Aleppo,Al Bab,A'rima,29390.0,6638.0,20356.0,3.0
177,Ar-Raqqa,Tell Abiad,Ein Issa,17732.0,1430.0,17732.0,3.0
178,Homs,Homs,Qabu,39100.0,2250.0,27081.0,2.0
179,Aleppo,A'zaz,Aghtrin,27910.0,12960.0,19330.0,5.0
180,Deir-ez-Zor,Abu Kamal,Jalaa,28800.0,2160.0,19947.0,2.0
181,Homs,Tall Kalakh,Tall Kalakh,27830.0,2160.0,19275.0,2.0
182,Idleb,Idleb,Sarmin,9500.0,4500.0,6580.0,4.0
183,Aleppo,Ain Al Arab,Lower Shyookh,35180.0,0.0,13593.0,3.0
184,Aleppo,Al Bab,Rasm Haram El-Imam,7245.0,735.0,5018.0,2.0
185,Tartous,Banyas,Hamam Wasil,7160.0,930.0,4959.0,1.0
186,Idleb,Harim,Kafr Takharim,20250.0,16580.0,16580.0,4.0
187,Homs,Al Makhrim,Jeb Ej-Jarrah,21685.0,1520.0,15019.0,3.0
188,Tartous,Dreikish,Jneinet Raslan,7616.0,510.0,5275.0,1.0
189,Rural Damascus,Duma,Haran Al'awameed,20760.0,3410.0,14378.0,2.0
190,Al-Hasakeh,Quamishli,Qahtaniyyeh,26290.0,1675.0,18208.0,2.0
191,Hama,Masyaf,Ein Halaqim,24400.0,5450.0,16899.0,2.0
192,Aleppo,Afrin,Bulbul,21060.0,9250.0,14586.0,3.0
193,Homs,Homs,Hasyaa,20740.0,5380.0,14365.0,2.0
194,As-Sweida,As-Sweida,Mazra'a,17110.0,3450.0,11850.0,3.0
195,Al-Hasakeh,Al-Malikeyyeh,Ya'robiyah,23120.0,885.0,16013.0,2.0
196,Aleppo,A'zaz,Mare',14139.0,1175.0,9793.0,4.0
197,Aleppo,Afrin,Ma'btali,21436.0,7740.0,14847.0,3.0
198,Hama,Muhradah,Kafr Zeita,18820.0,1580.0,13035.0,4.0
199,Aleppo,As-Safira,Hajeb,7110.0,1705.0,4924.0,3.0
200,Al-Hasakeh,Al-Hasakeh,Areesheh,19810.0,680.0,13720.0,3.0
201,Homs,Homs,Mahin,0.0,0.0,0.0,3.0
202,Homs,Homs,Sadad,5600.0,20.0,3879.0,2.0
203,Al-Hasakeh,Al-Hasakeh,Hole,14059.0,2975.0,9737.0,4.0
204,Lattakia,Lattakia,Ein El-Bayda,9320.0,1310.0,6455.0,2.0
205,As-Sweida,Salkhad,Salkhad,24180.0,2680.0,16747.0,2.0
206,Hama,As-Suqaylabiyah,Tell Salhib,16960.0,30.0,11746.0,2.0
207,Rural Damascus,Darayya,Hajar Aswad,4500.0,320.0,4500.0,3.0
208,Rural Damascus,Al Qutayfah,Ma'loula,10800.0,190.0,7480.0,1.0
209,Lattakia,Al-Qardaha,Fakhura,14180.0,510.0,9821.0,1.0
210,Tartous,Tartous,Hameidiyyeh,20190.0,8360.0,13984.0,4.0
211,Tartous,Banyas,Qadmous,20220.0,3850.0,14004.0,1.0
212,Aleppo,Jarablus,Ghandorah,27403.0,14393.0,18979.0,4.0
213,Aleppo,A'zaz,Tall Refaat,13630.0,1258.0,9440.0,3.0
214,Aleppo,Al Bab,Ar-Ra'ee,20031.0,6615.0,13873.0,4.0
215,Ar-Raqqa,Tell Abiad,Suluk,34520.0,3535.0,19331.0,3.0
216,Tartous,Safita,Mashta Elhiu,16710.0,9430.0,11573.0,3.0
217,Homs,Homs,Farqalas,16330.0,4930.0,11310.0,3.0
218,Rural Damascus,Rural Damascus,Maliha,0.0,0.0,0.0,3.0
219,Tartous,Safita,Ras El-Khashufeh,16380.0,1470.0,11345.0,1.0
220,Hama,As-Suqaylabiyah,Shat-ha,15040.0,0.0,12408.0,2.0
221,Rural Damascus,Yabroud,Esal El-Ward,4550.0,390.0,3151.0,2.0
222,Rural Damascus,Az-Zabdani,Dimas,17710.0,4110.0,12266.0,2.0
223,As-Sweida,Salkhad,Thibeen,7500.0,580.0,5195.0,1.0
224,Tartous,Safita,Sisniyyeh,17370.0,2300.0,12030.0,1.0
225,Tartous,Tartous,Kareemeh,11560.0,1040.0,8006.0,1.0
226,Hama,As-Salamiyeh,Eastern Bari,3970.0,470.0,3036.0,3.0
227,Tartous,Tartous,Kherbet Elma'aza,16770.0,2160.0,11615.0,1.0
228,Tartous,Tartous,Safsafa,17160.0,1540.0,11885.0,1.0
229,Dar'a,As-Sanamayn,Masmiyyeh,12120.0,1600.0,11249.0,3.0
230,Hama,As-Salamiyeh,Saboura,4010.0,1340.0,2777.0,4.0
231,Lattakia,Al-Haffa,Kansaba,600.0,0.0,416.0,3.0
232,Lattakia,Jablah,Dalyeh,9570.0,360.0,6628.0,1.0
233,Aleppo,Al Bab,Eastern Kwaires ,0.0,0.0,0.0,3.0
234,Tartous,Banyas,Anaza,15300.0,2000.0,10597.0,2.0
235,Aleppo,As-Safira,Khanaser,540.0,0.0,374.0,2.0
236,Homs,Tall Kalakh,Hadideh,41567.0,0.0,28789.0,0.0
237,Tartous,Sheikh Badr,Qumseyyeh,13460.0,3190.0,9322.0,2.0
238,Rural Damascus,At Tall,Rankus,9870.0,60.0,8019.0,3.0
239,Tartous,Dreikish,Dweir Raslan,11060.0,2240.0,10023.0,2.0
240,Homs,Tadmor,Sokhneh,13870.0,860.0,9606.0,3.0
241,Aleppo,Afrin,Sheikh El-Hadid,12830.0,5080.0,8886.0,2.0
242,Homs,Homs,Qaryatein,800.0,0.0,554.0,3.0
243,Lattakia,Al-Haffa,Al-Haffa,10120.0,830.0,7009.0,3.0
244,As-Sweida,As-Sweida,Mashnaf,12610.0,90.0,8734.0,2.0
245,Homs,Tadmor,Tadmor,3180.0,70.0,2798.0,4.0
246,Lattakia,Jablah,Ein Elsharqiyeh,11240.0,640.0,7785.0,1.0
247,As-Sweida,Salkhad,Milh,11880.0,360.0,8228.0,3.0
248,Tartous,Banyas,Rawda,10290.0,1020.0,7127.0,1.0
249,Lattakia,Lattakia,Qastal Maaf,9210.0,1240.0,6379.0,3.0
250,Tartous,Safita,Sibbeh,6000.0,520.0,4156.0,1.0
251,As-Sweida,Shahba,Little Sura,11250.0,360.0,7792.0,3.0
252,As-Sweida,Salkhad,Qarayya,10945.0,2110.0,7581.0,3.0
253,Rural Damascus,At Tall,Sidnaya,10050.0,790.0,6961.0,1.0
254,Homs,Homs,Shin,28101.0,0.0,19463.0,1.0
255,Rural Damascus,Duma,Sabe Byar,78850.0,78800.0,78800.0,4.0
256,Lattakia,Al-Haffa,Salanfa,3950.0,160.0,2736.0,4.0
257,Lattakia,Jablah,Ein Shaqaq,9700.0,520.0,6718.0,1.0
258,Lattakia,Jablah,Beit Yashout,8720.0,360.0,6039.0,1.0
259,Lattakia,Lattakia,Rabee'a,1300.0,0.0,900.0,3.0
260,Al-Hasakeh,Al-Hasakeh,Be'r Al-Hulo Al-Wardeyyeh,2990.0,200.0,2990.0,3.0
261,Tartous,Dreikish,Hamin,6690.0,440.0,4633.0,1.0
262,Tartous,Banyas,Taleen,6160.0,1160.0,4716.0,1.0
263,Lattakia,Al-Haffa,Mzair'a,6690.0,170.0,4633.0,1.0
264,Tartous,Safita,Bariqiyeh,6100.0,730.0,4575.0,2.0
265,Lattakia,Al-Qardaha,Harf Elmseitra,4950.0,400.0,3428.0,1.0
266,Tartous,Banyas,Tawahin,5980.0,1030.0,4142.0,1.0
267,Lattakia,Lattakia,Bahlawaniyeh,4860.0,120.0,3366.0,1.0
268,Lattakia,Al-Haffa,Ein Et-teeneh,3800.0,120.0,2632.0,1.0
269,Lattakia,Lattakia,Kasab,830.0,380.0,575.0,4.0
